timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568226091,839,Cart-0,301,Moved Permanently,HomePAge 1-7,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,838,0,0
1658568226930,2971,Cart-1,200,OK,HomePAge 1-7,text,true,,112632,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1624,0,0
1658568227490,2669,HTTP Request,200,OK,HomePAge 1-15,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1480,0,0
1658568227490,1480,HTTP Request-0,301,Moved Permanently,HomePAge 1-15,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1480,0,0
1658568228970,1189,HTTP Request-1,200,OK,HomePAge 1-15,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1189,0,0
1658568218896,11296,Cart,200,OK,HomePAge 1-16,text,true,,104332,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1354,0,0
1658568218896,1354,Cart-0,301,Moved Permanently,HomePAge 1-16,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1354,0,0
1658568220251,9941,Cart-1,200,OK,HomePAge 1-16,text,true,,103940,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1319,0,0
1658568217675,12541,Homepage,200,OK,HomePAge 1-19,text,true,,364361,236,20,20,https://www.flipkart.com/,667,0,0
1658568217675,667,Homepage-0,301,Moved Permanently,HomePAge 1-19,text,true,,347,118,20,20,http://www.flipkart.com/,667,0,0
1658568218342,11874,Homepage-1,200,OK,HomePAge 1-19,text,true,,364014,118,20,20,https://www.flipkart.com/,1308,0,0
1658568225717,5360,HTTP Request,200,OK,HomePAge 1-13,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,880,0,290
